code_insee,nom_commune,code_departement,population
02033,Aubigny-en-Laonnois,02,101
02038,Les Autels,02,63
02047,Barenton-Cel,02,108
02068,Berlancourt,02,81
02117,Bray-Saint-Christophe,02,65
02129,Bruys,02,19
02132,Bucy-lès-Cerny,02,188
02214,Contescourt,02,61
02244,Crupilly,02,64
02278,Éparcy,02,34
02354,Grandrieux,02,80
02377,Haution,02,130
02435,Logny-lès-Aubenton,02,83
02467,Marizy-Saint-Mard,02,49
02499,Montbavin,02,40
02510,Monthurel,02,137
02516,Montigny-sous-Marle,02,70
02522,Mont-Saint-Jean,02,81
02609,Ployart-et-Vaurseine,02,23
02622,Priez,02,58
02632,Quincy-Basse,02,54
02652,Rogny,02,100
02654,Romery,02,83
02685,Saint-Nicolas-aux-Bois,02,116
02696,Saint-Thomas,02,72
02735,Tannières,02,16
02744,Torcy-en-Valois,02,77
02817,Ville-Savoye,02,83
02823,Voharies,02,76
03009,Aubigny,03,146
03114,La Ferté-Hauterive,03,260
03143,Lételon,03,91
03191,Murat,03,267
03302,Veauce,03,39
04021,Barras,04,142
04085,Faucon-du-Caire,04,62
04107,Majastres,04,5
04137,Nibles,04,54
04159,Redortiers,04,89
04177,Hautes-Duyes,04,50
05066,La Haute-Beaume,05,7
05082,Mont-Dauphin,05,169
05089,Montrond,05,89
05094,Nossage-et-Bénévent,05,11
05099,Oze,05,103
06124,Saint-Léger,06,57
07137,Lavillatte,07,43
07209,Saint-Andéol-de-Fourchades,07,53
08014,Annelles,08,130
08031,Aure,08,38
08106,Charnois,08,72
08155,Étalle,08,96
08165,Faux,08,63
08167,La Férée,08,70
08201,Gruyères,08,104
08215,Harricourt,08,45
08259,Longwé,08,66
08279,Mars-sous-Bourcq,08,62
08286,Ménil-Annelles,08,102
08288,Mesmont,08,91
08295,Mondigny,08,193
08304,Montigny-sur-Meuse,08,77
08306,Mont-Laurent,08,51
08317,La Neuville-à-Maire,08,111
08332,Oches,08,34
08397,Saint-Remy-le-Petit,08,55
08430,Stonne,08,39
08433,Suzanne,08,56
08446,Thénorgues,08,85
08463,Vaux-en-Dieulet,08,54
08471,Verrières,08,33
08481,Villers-sur-Bar,08,240
08489,Voncq,08,211
08501,Williers,08,40
09006,Alliat,09,56
09064,Bouan,09,41
09072,Calzan,09,45
09133,Génat,09,24
09146,Justiniac,09,58
09195,Monesple,09,26
09201,Montégut-en-Couserans,09,73
09218,Orgeix,09,101
09242,Raissac,09,49
09256,Saint-Bauzeil,09,57
09260,Sainte-Foi,09,30
09266,Saint-Julien-de-Gras-Capou,09,83
09279,Salsein,09,46
09304,Suzan,09,24
10007,Arconville,10,107
10010,Arrembécourt,10,47
10026,Bailly-le-Franc,10,36
10044,Bétignicourt,10,33
10047,Blignicourt,10,43
10071,Chacenay,10,52
10072,La Chaise,10,32
10134,Échemines,10,84
10160,Fravaux,10,36
10163,Fuligny,10,40
10183,Juvanzé,10,35
10273,Ortillon,10,22
10294,Poligny,10,58
10303,Précy-Notre-Dame,10,68
10346,Saint-Léger-sous-Margerie,10,52
10354,Saint-Nabord-sur-Aube,10,140
10364,Saint-Usage,10,69
10389,Unienville,10,108
10403,Vernonvilliers,10,57
10411,Ville-aux-Bois,10,28
11029,Belcastel-et-Buc,11,60
11073,Cassaignes,11,59
11082,Caunette-sur-Lauquet,11,11
11094,Clermont-sur-Lauquet,11,30
11100,Corbières,11,36
11114,Cumiès,11,43
11134,Fajac-la-Relenque,11,51
11147,Fontanès-de-Sault,11,5
11149,Fonters-du-Razès,11,74
11160,Galinagues,11,31
11166,Gourvieille,11,69
11204,Lignairolles,11,34
11231,Mézerville,11,97
11247,Monthaut,11,37
11291,Plavilla,11,142
11294,Pomy,11,51
11350,Saint-Just-et-le-Bézu,11,50
11374,Salza,11,28
11391,La Tourette-Cabardès,11,22
11402,Valmigère,11,27
11419,Villautou,11,66
12175,Ols-et-Rinhodes,12,168
12275,Tauriac-de-Camarès,12,35
13055,Marseille,13,877215
13090,Saint-Antonin-sur-Bayon,13,125
14019,Arganchy,14,216
14238,Englesqueville-en-Auge,14,113
14285,Le Fournet,14,76
14337,La Houblonnière,14,325
14369,Litteau,14,276
14412,Le Mesnil-au-Grain,14,74
14439,Monfréville,14,96
14448,Montreuil-en-Auge,14,65
14473,Notre-Dame-de-Livaye,14,107
14496,Périgny,14,57
14511,Pont-Bellanger,14,64
14512,Pontécoulant,14,71
14622,Saint-Martin-de-Blagny,14,120
14666,Sannerville,14,1884
15060,Deux-Verges,15,53
15065,Espinasse,15,79
15125,Mentières,15,124
15198,Sainte-Marie,15,103
15234,Teissières-lès-Bouliès,15,339
15245,Vabres,15,251
15247,Valjouze,15,24
16365,Sauvignac,16,98
17343,Saint-Grégoire-d'Ardennes,17,144
18071,Contres,18,34
18152,Montlouis,18,110
18202,Saint-Céols,18,13
18244,Saugy,18,78
18250,Serruelles,18,67
19009,Les Angles-sur-Corrèze,19,126
19083,Feyt,19,112
19108,Laroche-près-Feyt,19,79
19137,Meyrignac-l'Église,19,63
19205,Saint-Geniez-ô-Merle,19,91
19206,Saint-Germain-Lavolps,19,101
19210,Saint-Hilaire-Luc,19,65
19232,Saint-Pardoux-le-Neuf,19,81
19268,Toy-Viam,19,35
21018,Arcey,21,52
21097,Boussey,21,34
21118,Busserotte-et-Montenaille,21,33
21119,Bussières,21,44
21129,Chambain,21,28
21136,Champagny,21,27
21141,Champrenault,21,37
21144,Charencey,21,37
21161,Chaumont-le-Bois,21,79
21168,Chevannay,21,35
21184,Colombier,21,66
21197,Corpoyer-la-Chapelle,21,37
21235,Duesme,21,46
21250,Essarois,21,84
21262,Faverolles-lès-Lucey,21,29
21264,Le Fête,21,45
21311,Grosbois-lès-Tichey,21,69
